,user,location,text
0,michaelcawood,"Los Angeles, CA",2018 Creative Director for a new animation studio in Burbank best rate I’ve been offered. But after two months I was only paid for one week! Took them to court. They never showed up. I win... but still never get paid. Non US owner. Be warned. #Animationpaidme
1,rollinrabbits,Vancouver,"#AnimationPaidMe The problem is I can't remember my payment history very well.
2012/layout/posing artist -- $600/wk?
2020/senior animator -- $1300/wk

The only way I got up there was by leaving the studio then coming back."
2,ling_extra,california,"#AnimationPaidMe + (indie game studio lol)

Visdev for WB in 2017:
$450 for 3 character sketches, B&amp;W (no turnarounds, quick delivery)

2018-2019 TTG: concept artist
$30/hr, renegotiated to $32.50/hr

2019-2020 on Disenchantment: background painter
$1800/wk"
3,KaitSnod,"Burbank, CA",So I hope ppl reading the #animationpaidme tag and see the disparities between regions and don't get angry at other artists and instead get angry at the corporations profitting off not paying ppl fairly.
4,BillNewtonVO,The Edge of Insanity,"Something I'm noticing about the #PublishingPaidMe and #AnimationPaidMe tags is that people are kept silent and in fear about what they make, because there's always a boogeyman looming that if they DARE ask for more/what they're worth, the work evaporates to somewhere else."
5,DebbieScheller,"Michigan, USA","#AnimationPaidMe 
Bento Box Atl 2014: $500/wk - I went out to LA at the end of the show’s season and looked around a bit. Was eventually offered a position at Bento Box LA...for the exact same rate. Told take it or leave it. I left it and LA :V"
6,Tigeroovy,"Vancouver, BC. Canada","This #AnimationPaidMe trend is showing me that I need to be asking for more.

I have a contract negotiation coming up, I will be asking for more whatever the offer is.

I’m being a little embarrassingly lowballed."
7,Jonezee99,Los Angeles,I was shocked to learn recently animation production staff AREN’T in  the @animationguild This makes no sense! Animation is basically factory work and all workers should be in the union. #AnimationPaidMe
8,LizaDesya,,"#AnimationPaidMe 
9 Story Rigging internship: $560 /wk
Mercury Rigger and Builds: $1000 /wk

Rate transparency is important!!"
9,DimaLish95,"Los Angeles, California",Learning a lot from all the folks in #AnimationPaidMe This'll come in handy with future interviews.
10,Jonezee99,Los Angeles,"Know your value. Consider what an hour of your time is worth. $50? $100? $250? Is it worth it to bend over a screen all day for the money you’re on? What are the rewards; creative, financial, opportunity for growth? Would another job be more satisfying? #AnimationPaidMe"
11,helloashleylam,,"#animationpaidme
Studio Runner (non-union studio)
$600/wk (2016)
Gas compensation
Benefits

PA (non-union studio)
$650/wk (2016-2017)
Benefits

Coord (non-union studio)
$800/wk (2017)
Benefits

Revisionist (non-union)
$1200/wk (2017, BLESS MY LINE PRODUCER)
Benefits"
12,Gatsby_Not_Blue,,"#AnimationPaidMe

Studio B (no overtime):
2010 builder $20/hr

2011 Layout $23.5/hr 70+ hrs

2012 Key Poser $26.25/hr 50+ hrs 

2016 Build Supervisor $27.50/
Layout Supe $31.75/hr 

2018 Asked to do story boards. Was offered $20/hr cause I was inexperienced. 

Left industry"
13,ryagumon,"Burbank, CA","#AnimationPaidMe 

Only gonna list my single union gig cuz I freelanced VFX and Illustration for 2 years prior

Titmouse Board Revisionist
2019: $1550/wk
2020: $1630/wk"
14,CanipaShow,"Tokyo-to, Japan","I get that LA rent prices are massive, but the gap between the salaries mentioned in #AnimationPaidMe and the rates in the anime industry is absolutely wild."
15,Izaart,"Los Angeles, CA","2011-13(Playdom): $52k/yr USD
(Jr artist)

2013-15(Nickelodeon): $1950/wk
(Strybrd)

2015-16(DreamWorks tv): $2100/wk
(Strybrd)

2016-17(Sony Pictures Animation):
$2350/wk (Feature Strybrd)

2017(DW tv): $2100/wk
(Strybrd)

2019-20(WB): $2400/wk
(Strybrd)

#AnimationPaidMe"
16,GreaserDracula,"North Hollywood, CA","I have a horrible memory &amp; dont remember dates very well but #animationpaidme
Stoopid Buddy: Opporations- 600
Titmouse: Compositing
Big Mouth Season 1= 1200
Big Mouth season 2 + 3= 1300
6PH Cosmos: Animation= 1200 
Titmouse: Compositing-
Bless the harts =1600
Big Mouth = 1600"
17,JosetteItOff,"Brooklyn, New York","#AnimationPaidMe reminder that the “payroll” schedule is your labor being “loaned” to your employer. Often freelancers are paid Net30/Net45, so payouts often times take a month to receive your first pay. Shit JUST MIGHT leave a nigga homeless, u ain’t hear that from me. https://t.co/jzJE8uvnYk"
18,StarlockStudio,"Atlanta, GA",I should stop looking at the #animationpaidme tag....depressing stuff ...but I can't....stop
19,Jonezee99,Los Angeles,Disney animator Art Babbitt was paid 224k (adjstd) a year during the Great Depression. Star animators in the 90s got million dollar bonuses. We help these corps make BILLION$. We should earn entertainment industry money. USE that when you negotiate your salary. #AnimationPaidMe
20,BradBradleyArt,Vancouver,"#animationpaidme 1150/week rn, and my rents like 950 so im livin"
21,JoeMcGro,"Burbank, CA","#AnimationPaidMe
These are all my in-studio LA wages. I honestly can't remember a single freelance wage.

2014 - BG design | Frederator (non-union)
$1600/wk

2018 - BG design/paint | HotHouse (non-union)
$1800/wk

2020 - BG design | Nickelodeon (union)
$2100/wk"
22,JosetteItOff,"Brooklyn, New York","#AnimationPaidMe NYC 
$400/wk - intern bg designer 
$150/day - motion graphic artist 
$250/day- (after I asked what dude next to me was making and he said 300/day) 
$300/day - storyboards
$100/day - visdev (never invoiced lol)
These jobs spanned 6mos at the max. 1-5 days min"
23,itsyucourtney,SoCal,"#Animationpaidme as a happa in LA:

Full time/hr: 
Temp - DWA 2014 - $16
Coordinator/Associate Producer/Associate Artist - Age of Learning 2015-2019: $16.75 ➡️ $18 ➡️ $23
Design Coordinator - DreamEast Pictures 2019: $22.5 ➡️ $24
Central Production Coordinator - DWA 2020 - $21.89"
24,TellCaitieCat,"Los Angeles, CA","Wow, so #AnimationPaidMe just made a career call I’ve been struggling with, my sincere thanks Twitter 💖"
25,nchlecrz,,"This is true. I've been taking these amounts inexchange of my hardly done bgs.

For reference I've been in this industry since 2014 til present. We've faced so much challenges since. I agree with this. We were paid nuts. Not money :(

THIS IS DEPRESSING :(
#AnimationPaidMe https://t.co/ZfTk4sslJJ"
26,Chromantica, She/They /That Guy,"#AnimationPaidMe 
2016: *redacted studio clean up artist*  I don't remember the exact amount but It was about 36/hr

2017: Color designer at shadow machine $1569.20 
2018: Color Designer on season 1 of owl house $1,800.00 
2020: Color designer on season 2 owl house $1854.00"
27,OHLLRN,hello@charlieohalloran.co.uk,"Seeing all these #AnimationPaidMe tweets is astonishing. People earning 2k a WEEK. I'm not an animator but bloody hell, I've not even made 2k all year."
28,nique_ill,"Montevideo, Uruguay",Thanks for #PublishingPaidMe #AnimationPaidMe and all of that. Although it is a painful experience it was necessary.
29,Hvnnart,Jupiter ,Seeing the #AnimationPaidMe tag makes me frustrated knowing that Philippine animators are so talented but they’re being robbed. You’re lucky if you get 600 usd in this country.
30,kahokyun,🇨🇦🥌,"Seeing everyone balk at our animation pay prices again with #AnimationPaidMe ... It sucks but I'm pleased to notice the wages seem to be trending up.

It's not the best outcome but any step forward is progress."
31,RhealxDoyle,yyz (he/him),"I wanna join in on this #animationpaidme business, but being unemployed in the middle of a pandemic makes me uneasy with sharing, ykno?
All I know is that 600/week for junior or entry rates needs to end."
32,TThisbitchgay,Hell Bitch,Where was the #AnimationPaidMe tag a few months ago when I actually needed it for a project smh god hates me
33,LouisianArtz,Atlanta,"#AnimationPaidMe 
ATL VERSION:
I moved from LA-&gt;GA to advance my career in anim. Starting rate was 18hr/40hr a wk. 

There are a lot of sister studios in ATL where bg&amp;animation is outsourced but the pay isnt even 1/2 of what artists in LA make. 

There are no unions btw"
34,elenatchii,"Montréal, Québec","#AnimationPaidMe #VFXPaidMe  (as a white cis woman)

45K cad/year - junior rigger
53K cad/year - mid rigger
74K cad/year - mid rigger (lead)

this is all for the same studio in montreal, in the span of about 3 years"
35,stuharvs,"Vancouver, British Columbia","#AnimationPaidMe 
2017, DHX now W*ldbrain: $900/week, Posing
2018, Atom*c: $900/week, Animation
2018, Atom*c $950/week, Animation

All CAD

Now making north of $1100 compositing, but this contract has been a bit of an atypical mess and have heard rumours to expect less next time"
36,CraigArndt,"Vancouver, British Columbia","You will never get more than you ask for, and if you don't know what to ask for you will fight tooth and nail for a $50 raise when you're underpaid $200 compared to your coworkers. And only stops with the spread of information. #Animationpaidme"
