,user,location,text
0,NicoleChenArt,"Los Angeles, CA","#Animationpaidme

2015- Boards $1650/wk 
2016- Boards $1300/wk 
2017- Boards $1800/wk 
2017- Revisions $1800/wk 
2018- Boards $2150/wk 
2019- Boards $2000/wk
2019- Boards $2300/wk
2019- Boards $2400/wk 
2020- Boards $2305/wk"
1,seegsart,,"#AnimationPaidMe 
WB, Freelance Board Artist, 2018: $600/page 
Bento, In House Revisionist, 2019: $1600/week
Bento, In House Board Artist, 2020:
$2304.40/week"
2,praquina,,"I don't have much to contribute but I really think we need transparency with these topics.

#AnimationPaidMe
2018: XRTales, $700usd per month 
2020: Exodo, $350usd per month
2020: freelance, approx $500usd per month 
No insurance

Note: I just graduated last December"
3,wishuponacrane,,"Its been a year, I'm still not fully paid over the money I've made since last year up to now.  

They still asked if I could still work.
#AnimationPaidMe"
4,bbymyrkattanim8,"California, USA","#AnimationPaidMe

 2020 ~ $15/hr - PA

That's it LOL. Finally got my foot in the door this February and still here as of now. Let's hope this list gets longer in these next years."
5,alisahaney9,She/They,"Reading the #AnimationPaidMe tag really makes me feel better about wanting to go into the industry. I used to be so afraid and have panic attacks over what I wanted to do in life, and it’s really nice to read actual pay-rates from people in the industry."
6,Alexi_Sketchy,"Vancouver, BC","#AnimationPaidMe

Titmouse Animation Canada

2013- $750 
2014- $850
2015- $900
2016- $1,075
2017- $1,100
2018- $1,100
2019- $1,150
2020- $1,175

Per week

A couple breakdowns at my desk, and a lot of begging, got me paid half of my US counterparts doing less work than me"
7,petarsaur,Greater Vancouver,Taking a break from the internet for one day. Open up twitter to check messages. See the #AnimationPaidMe movement 😀😐😥😢😭
8,CGRickk,"Ontario, Canada","30/White in Canada
2D Animator
$1082 a week
#AnimationPaidMe"
9,ashlenasharma,"Vancouver, British Columbia","#AnimationPaidMe I don't feel comfortable sharing publicly, but I'm more than willing to have a conversation one on one regarding pay because I do feel strongly about wages and knowing your worth. I also encourage Canadian industry artists to submit to https://t.co/cofLNWAxar"
10,onanimate,🍁,"Don't forget that studios in Canada also exploit artists with unpaid OT. This can dilute the already horrendous wages to figures approaching minimum wage depending on how hungry and scared the artists are made to feel.

#AnimationPaidMe 

Don't work for free. Ever."
11,jouache_,,"Looking at #AnimationPaidMe tags, brings me back to the fact that I dropped out my animation degree and pursue design instead."
12,Blackhole994,Bangkok,#AnimationPaidMe makes me realize how shitty the animation industry rate in my country is... I got paid at the minimum wage rate as other jobs that the law indicates when the job requires a specialized skill and it is non-negotiable. (1/3)
13,ewecandraw,"Iloilo City, Western Visayas","#AnimationPaidMe I was contracted to do an animation for a campaign by Globe Telecom as the sole animator.  got paid PHP45k (USD900) for a month of work, had to do everything from storyboard to bg to characters - not sure if I got a good deal or if I could've asked for more 😬"
14,ArtofDavidW,"Sun Valley, Los Angeles","I don't mean to pollute the hashtag, but I wanted to say: as a freelancer who has been applying for industry work since 2013, if you're reading the hashtag frustrated and also haven't gotten your foot in the door yet, keep at it, don't give up, it'll happen.
#AnimationPaidMe"
15,cantdilwithit,i should go,thank you to those who are sharing #AnimationPaidMe!! love the transparency and it's very insightful
16,OffBrandLink,"Burbank, CA",#AnimationPaidMe at least 90k a year for my first storyboarding job. For Assistant Director I was making $2460 a week. Studios need to step up and pay their Prod teams more. There’s no reason to not be paying someone a living wage in 2020.
17,cramdoodles,,"Love this transparency! Piggybacking off @Joc_Barkenhagen, #AnimationPaidMe :

2017 - Production Assistant (Freelance), CVLT: $200/day
2018 - Assistant Editor, Sprite Animation: $20/hr
2019 - Assistant Editor, Titmouse: $950/wk
2020 - Dialogue Editor, Titmouse: $1350/wk"
18,stupidyou3,,"#AnimationPaidMe Might as well share some of the stuff I got paid for:

Legend Quest (2017): 180+ PHP (less than 4$)/ second
MLP:FiM (Season 7-8) (2017-2018): 200+ PHP (4$)/ second
Same price for helpin' out in Equestria Girls.

On average I can do 20-40 seconds a week. (1/2)"
19,moxie_iii,"Los Angeles, CA","btw, if you're interested in the history of the anim union (&amp; the history of US anim) check out this book by former union pres, Tom Sito. The writing is fun &amp; informative!

https://t.co/XKFeKbXNuw
#AnimationPaidMe https://t.co/b7tEMj9UTT"
20,yantor3d, ,"#AnimationPaidMe #GameDevPaidMe #VFXPaidMe

Cishet white male, salaries in USD

2010-2011 Technical Artist Intern: $14/hr/N (DEN)
2011-2013 Technical Artist: $56k/F (DEN)
2013-2018 Rigger: $72k/F (DFW)
2018-Now Animation Pipeline TD: $105k/F (PDX)

N: No benefits
F: Full benefits"
21,xiaowongbao,Lio Fotia's porch ,"The #AnimationPaidMe tag is giving me war flashbacks HAHAHA

Guess what, I got paid for less than $4/sec for animating My Little Pony, Polly Pocket, etc. It's not Hasbro's fault or anything, it's the outsourcing company's.

🤷‍♀️"
22,bereweilschmidt,"Monterrey, Nuevo León",#AnimationPaidMe wow now I understand why Mexicans are outsourced instead of hired in the US and Canada. We are paid less than a half of what our work is worth.
23,ericameschwitz,"NS, Canada","The sad thing about #animationpaidme is that while it's legal and encouraged to share rates to protect workers, many of us are scared bc all the studios have to do is not ask you back after your contract runs out (I've never been on a contract longer than 1.5 years)"
24,lightbombmike,Probably North of You,"#GameDevPaidMe #AnimationPaidMe 
Cis white male
Base annual salaries in usd

Animator
2006-47.5k Los Angeles
2007-55k Austin, TX
2008-70k Madison, WI
2010-75k Seattle

Senior Animator
2011-80k Hunt Valley, MD
2014-90k Champaign, Il"
25,TheGr8Depresh,,"Reading #AnimationPaidMe like damn... they make a LOT of money and are still complaining about it. I live in SoCal, have a BA and still wish I made that much"
26,gojaidago,Canada,This whole #AnimationPaidMe makes me ask one question... how do we get a union over here in Canada https://t.co/XpY886oVYD
27,gfreitag19,"Montréal, Québec","#AnimationPaidMe #VFXPaidMe
 
2014/17 - Graduate Assistant, Teaching $13-$15 USD / hr
2017/19 - University Staff $15-$19 USD / hr
2019/20 - CFX Artist $650 CAD / wk (after tax)"
28,picpak,"Regina, Saskatchewan","There's no one tweeting #AnimationPaidMe from Saskatchewan because our government killed our film tax credit and you can count on one hand the number of people left. 6 years, $16 an hour."
29,KathleenKogan,"British Columbia, Canada","I wanna do #AnimationPaidMe  , talking about wages is so important but I also feel weird doing it since I feel that impostor syndrome so hard - when do you start to feel like you are in the industry and when do you know how much you are worth?"
30,miggsboson,"Fucktown, USA","Damn, I'm directing at CN and getting $2550/wk. 
#AnimationPaidMe https://t.co/T9a5wWDIJd"
31,Lennester,Canada,"#AnimationPaidMe I started animating professionally in 2017 
Jr Animator on Kody Kapow: 948/wk
Holocube 3D Animator : 1248/every 2 weeks
3D Animator snowball studios: 16.50/hr
UI/UX Designer with VanDerGraph 1500/wk (switched over to ui/ux and personally more happy 😋"
32,kevinbparry,"Toronto, Ontario","Nervous, but transparency is good. And I’m not in the industry anymore, so whatever. #AnimationPaidMe 

2010, Jr Animator, CG, TV
$35k CAD

2011, Jr Animator, Stop-Mo, Feature
$50k USD

2013, Jr Animator, Stop-Mo, Feature
$60k USD

2014-18, Animator, Stop-Mo, Feature
$75-95k USD"
33,myTrainline,,"Was doing general animation stuff + occasional graphic design. 
15k Php (300 usd)/month base, -500 per day absent, no overtime pay #AnimationPaidMe"
34,berryterror,california,"#AnimationPaidMe is a damn good tag. wage transparency is vital if we want artists in the industry to be paid fairly

also pls try to remember that many of these artists are paying LA/NY/toronto rent (often upwards of $2K/mo) just to have access to somewhat stable work"
35,Miss_Jasbutts,"Los Angeles, CA",Thankful for people posting production salaries in  #AnimationPaidMe because I had no idea where they were sitting at...  And those positions aren't represented by the union.  I guess that's what I have to look forward to...
36,sandeepanchanda,Los Angeles / Mumbai,"#AnimationPaidMe 
Indian citizen, while working on union shows in LA the past three years

Animator at Titmouse Inc 
$1280/week approx

Feature board artist at Alcon Ent
$2077/week -&gt; $2314/week 

Fees for OPT and artist visa and lawyers were borne by me.

Currently on hiatus."
