,user,location,text
0,MrBeezul,Ghost,"#GameDevPaidMe Riot Games
I had 3 years xp prior
Mid level env artist- 80k
I didn't get a ANY raise for 3 years not even 5% to balance out inflation. 
After 3 years I began asking for a raise because I had way more responsibilities and was managing other artists/ leading projects"
1,LTDastrup,"Idaho, USA","#GameDevPaidMe
42K - Lead Level Designer

Now I get paid less at a completely different job but the stress and disgusting talks of microtransactions and customer abuse are gone lol"
2,scevda,"Santa Clara, CA","#GameDevPaidMe Is solidifying for me how I might be much lower maitenance than I had ever realized. These 2nd stage of career salaries would be beyond amazing to have, easily ecclipsing my highest pay ever of &lt;40k."
3,rolanberrypie,株式会社ミコッテ,"#DayJobPaidMe
pipeline it technicolor creative services, $65k
contractor for large internet search company, $80k

#GameDevPaidMe 
indie developer, negative $3000"
4,MattFabius,,"#GameDevPaidMe

2018 - Associate Game Designer (contract) - $56k (no benefits)
2019 - Associate Game Designer (full time) - $62k
2020 - Content Lead - $66k

All @ Jam City, San Francisco

Jewish/white male, BA Linguistics &amp; Computer Science"
5,Marzief_Falco,"Austin, TX","#gamedevpaidme Cis White Male here

$9-10/Hr, QA Temp Tester, Turbine (2007)
$9/Hr, Game Master, Blizzard (2009)
$20.35/Hr, Specialist Game Master, Blizzard (present)"
6,SubwooferSub,"Los Angeles, CA","#GameDevPaidMe 

Me: 27, Straight White Male, with 3+ years of experience

$25/hr Audio Artist, EA
$500 per character skin, Team Audio
$35/hr Associate Sound Designer, Naughty Dog"
7,ghoulsengel,"Brooklyn, NY","Welp I may have just decided that I'll carve my place as a non binary femme in this industry with my goddamn fingernails if I have to.
#GameDevPaidMe 💅🏻"
8,MegzHartie,"Staten Island, NY","#GameDevPaidMe 
Internships: $50/day
Freelance/Contract Game Design: $10/hr (usually 3-day weeks)
Full-time Game Tester/Rater: $41,000/yr (after 4+ years)
QA Tester (only one in my busy studio): $55,000/yr

I'm a CSM® and know I'm being way underpaid compared to some coworkers.😓"
9,acexproject,,Me looking at the #GameDevPaidMe salaries https://t.co/9QMUWO1t79
10,danipanteez,"Los Angeles, CA","#GameDevPaidMe 
Contractor @ GaiaOnline: $23k
Senior Artist @ GaiaOnline: $47k
Concept Artist @ PocketGems: $70k, raised to $72k
Lead Artist @ Nix Hydra: $75k, raised to $85k."
11,cronym,"San Francisco, CA","#GameDevPaidMe I’m on the fence about participating, because I happened to be in data eng/distributed systems stuff *at* a game company. I didn’t work on games directly. That being said, most games have online service components now.

🤷‍♀️"
12,pedrothedagger,mission viejo,Something I’ve thought for a long time was that igda surveys are heavily skewed upwards due to selection bias and feels like #GameDevPaidMe confirms that
13,Silkyvenom1982,,"#GameDevPaidMe 
Only did it for 2 years
EA : Tester Q&amp;A 2001-2002 $12hr"
14,itsmarksopp,California,"Egyptian 35/M/Cis
Blizzard Entertainment
• Game Tester -&gt; Sr. Test Analyst I (7.5 years): $21k -&gt; $??k -&gt; $38k -&gt; $44k -&gt; $48k -&gt; $49k
• Ass. Game Designer (1.5 years): $55k -&gt; $63k (""market adjustment"") -&gt; got an increase because I had an offer in-hand

#GameDevPaidMe"
15,HULKGAMECRIT,"Orlando, FL","EA WANTED ROUGHLY 9/HR NO BENEFITS, WAS MAKING 20 AT TIME, SAID NO

IRON GALAXY WANTED 12/HR NO BENEFITS (SAID NO) 

DISNEY PAYS 90K+ AND BENEFITS (TOO MANY CANDIDATES)

HULK CURRENT JOB PAYS CLOSE TO DISNEY

 ALL OF THESE JOBS WERE THE SAME, QA ANALYST

#GameDevPaidMe"
16,Syndarr,"Scotts Valley, CA",I should also add that I'm a white cis woman and I started my QA career in 2006. #GameDevPaidMe
17,thelaurynash,SF Bay Area,Great thread for my international game devs reading all the #GameDevPaidMe tweets and raising brows https://t.co/uSJUWzRmlN
18,ImpossibleScott,"Oakland, CA","A couple more because why not
#GameDevPaidMe
2012-2016 UI Generalist Eng/Rendering Eng, Sledgehammer Games - $95K-$112K + stock + bonus

2016-2017 Senior SW Eng, Funomena - $120K"
19,MutinyMan,,Here’s my name age sexual preference salary race and location. I’m sure this data will be handy to someone. I’m doing my part. #idiots #GameDevPaidMe #PublishingPaidMe
20,Mukulshroff2431,"Jaipur, India",Check out PS4 1TB Slim console (Games Included : Grand theft Auto V /Days Gone/God of War/Fortnight Voucher /PSN 3 Month Inside the Box by Sony buy now 👉 https://t.co/w7Ejox8uVx via @amazon #GameDevPaidMe https://t.co/SWKmb3XzCm
21,undertone,"Savannah, GA","#GameDevPaidMe 

1997 - 1998 Viewpoint Digital: 3D Modeler: 26k

WildTangent: 3DArtist
1999-1995: 65k

Microsoft Fasa Studio/Bungie:  effects Artist:  2005-2008 75k

Infinity Ward: Lead Visual Effects Artist, 2008 - 2017:  90k to 176k +bonuses (for about 5 years, 7 figure comp)"
