,user,location,text
0,AmandaLKirk,Upstate NY,"I'm not comfortable sharing my prev salary because its embarrassingly low, I should have known better. Now you can thanks to #GameDevPaidMe"
1,thepulserifle,"Moreno Valley, CA","Caveated #GameDevPaidMe

10/hr - QA @ Obsidian
10/hr - QA @ ATVI
12.50-14.75+bennies - QA Lead, Level Design @ Obsidian
11/hr (benefits forfeited for the extra dollar, no I’m not kidding) - Game Master @ Atlus Online

The caveat? It sucked."
2,Lvl3Khan,,"I'm really into the #GameDevPaidMe tag! Transparency, equality == good stuff.

I, an Asian/White, cishet male, in Seattle, was paid:

2016: $20/hr -&gt; $22/hr, Programmer Intern, ZigZa Games
2017: $14/hr, Programmer Intern, ArenaNet
2017-2020: $65k/yr -&gt; $69k/yr, ArenaNet"
3,RaymondDoerr,Texas,"If you can hack it as a solo dev, be a solo #indiedev.

#GameDevPaidMe (Rounded to the nearest 10k)

2014: 20k (Starting from October)
2015: 40k
2016: 90k
2017: 170k
2018: 320k
2019: 390k
2020: 90k (Thus far)"
4,BreezyCrayon,,"Personally keying in on those tweets from #GameDevPaidMe that point out the disparity between Contractors and Employees. In QA it was one thing to be underpaid, but a whole other level to feel/be treated like underappreciated children."
5,LewdieLie,www.artstation.com/leslievdb,engineers watching artists post in #GameDevPaidMe https://t.co/FY9lTS59xs
6,Wholfie,"California, USA",All of these #GameDevPaidMe threads are just making me upset. Spent 7 years working my way to a bachelors degree in digital animation and I’m working in a fucking warehouse https://t.co/uD1l7G4jjY
7,MochiMacchaArt,"Boise, ID, USA","*looks at my current salary*  

*looks at #GameDevPaidMe *

I think I'll just stay where I am currently for a while longer &gt;_&gt;"
8,KenanWilsher,"Derby, GB","So, here's my take on #GameDevPaidMe, as a white British, cis, male. 

Environment Artist @ Ubisoft 18-20: £19k yr
Env Artist @ Bulkhead Interactive 2020: £25k

But there's a few issues with things in my opinion, follow thread below:"
9,J_RedG,Lost in a virtual world I made,"I was hesitant posting my #GameDevPaidMe experience because I don’t feel like I belong with what everyone else is posting. But I hope I can inspire the next and shed some light that please, please do this because you love it. Not for money. 

This hashtag is a grim reminder."
10,J_RedG,Lost in a virtual world I made,"#GameDevPaidMe has paid me (my studio) over $100k.

I developed + shipped my first indie game called “S.O.N” in 2019 on PS4. My sole intention was to just put out a product I was proud of and that I could say I “shipped”. 

I spent around $3k prior to winning a $25k Grant."
11,rim_aj,"Montréal, Québec","To be more helpful:
I am a PoC (Moroccan/Lebanese), I have 3 years of experience in games and community. I’m based in Montreal but mostly worked for US (west coast) based companies. If I lived there, I’d be struggling, if I worked locally, I’d also be struggling.
#GameDevPaidMe https://t.co/1Xod7HAJ1d"
12,Error_Nikki,Hiding in the crash log,"The #GameDevPaidMe hashtag is super interesting and there is a lot of great data there but if i'm honest, it's also incredibly depressing..."
13,bucketcapacity,New Mexico,"Everyone in #GameDevPaidMe is talking about underpaid workers, but I'm just thinking about how, if I started 8 years ago, I could've been making $80k+ right now."
14,stiknork,"Vancouver, BC","#GameDevPaidMe white cishet male, have made around 55k-65k/yr USD as designer/programmer my whole 8 year career, mostly in Vancouver. my partner and i both work full time so i am in the privileged position of being able to mainly take jobs based on personal interest &amp; no crunch"
15,vincenth69,"Québec, QC","#GameDevPaidMe is necessary infos
I'm a cis-het white male.
2015 Gameplay programmer intern 17kCAD/yr (didn't have enough to pay my rent)
2months gameplay programmer at 17$CAD/hr
Under NDA since, release &amp; perf bonus, health insurance and share buying program available."
16,ForgottenOrder,"Stockholm, Sweden","#GameDevPaidMe
Allright then, here is my USA jobs:
Animation Intern: $0
SF- Associate Artist: 50k (benefits)
SF- General Artist: 55k (benefits)
SF- Game Artist Start Up - 70k (no benefits)
Freelance for games (2017) - $50/hr"
17,maskedtyrian,,#GameDevPaidMe $0 because I need to stop procrastinating and actually get back to working on my games.
